,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.1023,0.2778,0.01,0.0026,0.2338,0.0109,0.2103,0.2881,0.2375
30dayR2,0.1217,0.3511,0.0167,0.0038,0.3014,0.0061,0.2433,0.3524,0.3164
50dayR2,0.1153,0.3447,0.0155,0.0043,0.297,0.0049,0.2419,0.338,0.3139
80dayR2,0.1004,0.3286,0.0119,0.004,0.2843,0.003,0.2319,0.306,0.3107
110dayR2,0.1069,0.3277,0.0062,0.0038,0.2793,0.0067,0.2409,0.3054,0.3114
130dayR2,0.1098,0.3037,0.0024,0.0051,0.257,0.0109,0.223,0.2901,0.2846
150dayR2,0.105,0.2715,0.0005,0.0065,0.2279,0.0141,0.2005,0.2652,0.2577
180dayR2,0.0943,0.2233,0.0002,0.0087,0.187,0.0165,0.1649,0.2185,0.2161
10dayPvalues,0.0,0.0,0.0157,0.2177,0.0,0.0116,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.0018,0.1378,0.0,0.0613,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0028,0.118,0.0,0.095,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.0093,0.1345,0.0,0.1951,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.0617,0.1477,0.0,0.0526,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.2477,0.0927,0.0,0.0139,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.6089,0.0578,0.0,0.0052,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.7656,0.0293,0.0,0.0027,0.0,0.0,0.0
