,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0117,0.2537,0.0055,0.0025,0.2271,0.0101,0.2003,0.2229,0.2275
30dayR2,0.0353,0.3888,0.0062,0.0139,0.3366,0.0164,0.3278,0.3235,0.3631
50dayR2,0.0144,0.3776,0.0017,0.0317,0.3136,0.0049,0.3279,0.3163,0.34
80dayR2,0.0,0.3253,0.0006,0.0624,0.2512,0.0008,0.3012,0.2743,0.279
110dayR2,0.0109,0.2834,0.0055,0.0845,0.2013,0.0111,0.2852,0.2337,0.2385
130dayR2,0.0207,0.2599,0.0072,0.0753,0.1782,0.0181,0.2764,0.2142,0.2203
150dayR2,0.0229,0.2319,0.0046,0.064,0.1571,0.0174,0.2524,0.1958,0.1951
180dayR2,0.0197,0.2012,0.0001,0.0493,0.161,0.0073,0.2008,0.194,0.1442
10dayPvalues,0.0088,0.0,0.0738,0.2311,0.0,0.0149,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.0569,0.0044,0.0,0.002,0.0,0.0,0.0
50dayPvalues,0.0039,0.0,0.3261,0.0,0.0,0.0934,0.0,0.0,0.0
80dayPvalues,0.8814,0.0,0.5514,0.0,0.0,0.4878,0.0,0.0,0.0
110dayPvalues,0.0133,0.0,0.0799,0.0,0.0,0.0126,0.0,0.0,0.0
130dayPvalues,0.0006,0.0,0.045,0.0,0.0,0.0014,0.0,0.0,0.0
150dayPvalues,0.0003,0.0,0.1122,0.0,0.0,0.0018,0.0,0.0,0.0
180dayPvalues,0.001,0.0,0.8378,0.0,0.0,0.0456,0.0,0.0,0.0
