,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0667,0.38,0.1269,0.1777,0.3579,0.0008,0.3776,0.3324,0.3423
30dayR2,0.0423,0.2731,0.1203,0.1519,0.2522,0.0001,0.2899,0.2425,0.2583
50dayR2,0.0302,0.2158,0.1114,0.1406,0.2006,0.0001,0.238,0.1959,0.2084
80dayR2,0.0215,0.1677,0.1053,0.1335,0.1584,0.0001,0.1935,0.1578,0.168
110dayR2,0.0127,0.1361,0.1018,0.1321,0.1294,0.0009,0.1667,0.1324,0.1457
130dayR2,0.0085,0.1185,0.101,0.1344,0.1139,0.0017,0.1511,0.1191,0.1324
150dayR2,0.0055,0.1055,0.1043,0.1416,0.1028,0.0028,0.1399,0.1104,0.1234
180dayR2,0.0021,0.0849,0.1083,0.1408,0.0819,0.0035,0.1224,0.0902,0.11
10dayPvalues,0.0,0.0,0.0,0.0,0.0,0.4601,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.0,0.0,0.0,0.8363,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0,0.0,0.0,0.8043,0.0,0.0,0.0
80dayPvalues,0.0001,0.0,0.0,0.0,0.0,0.8049,0.0,0.0,0.0
110dayPvalues,0.0037,0.0,0.0,0.0,0.0,0.4462,0.0,0.0,0.0
130dayPvalues,0.0179,0.0,0.0,0.0,0.0,0.2929,0.0,0.0,0.0
150dayPvalues,0.057,0.0,0.0,0.0,0.0,0.177,0.0,0.0,0.0
180dayPvalues,0.2412,0.0,0.0,0.0,0.0,0.1321,0.0,0.0,0.0
