,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0749,0.1468,0.0123,0.0077,0.0931,0.0016,0.1872,0.1796,0.1059
30dayR2,0.1061,0.1991,0.0275,0.0045,0.1377,0.0095,0.1959,0.2468,0.1484
50dayR2,0.1261,0.2276,0.036,0.0034,0.1629,0.0159,0.2069,0.2648,0.1627
80dayR2,0.1246,0.2116,0.0244,0.0081,0.147,0.0076,0.2169,0.2582,0.1554
110dayR2,0.0999,0.1811,0.0268,0.0109,0.1289,0.0083,0.1795,0.2237,0.1232
130dayR2,0.0846,0.1597,0.0354,0.0125,0.1184,0.0108,0.1473,0.2046,0.0922
150dayR2,0.0691,0.1483,0.0368,0.012,0.1098,0.0112,0.1409,0.1938,0.0894
180dayR2,0.0556,0.1396,0.0603,0.0129,0.1124,0.0211,0.1125,0.1899,0.0731
10dayPvalues,0.0,0.0,0.0072,0.0337,0.0,0.3414,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.0001,0.107,0.0,0.0189,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0,0.1644,0.0,0.0025,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.0002,0.0321,0.0,0.0372,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.0001,0.0134,0.0,0.0304,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.0,0.0083,0.0,0.0138,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.0,0.0099,0.0,0.0128,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.0,0.0078,0.0,0.0006,0.0,0.0,0.0
